epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57104,0.99108,3.61325,1.2223,0.01226,0.58462,0.28194,0.14168,0.87871,3.26892,1.11297,0.00014,0.00014,0.00014
2,4.20905,0.93712,3.01759,1.09658,0.0186,0.88718,0.78,0.54989,0.82536,2.87343,0.96145,0.000299258,0.000299258,0.000299258
3,5.77314,0.95482,2.11618,1.04231,0.93303,0.71442,0.87874,0.57683,1.04091,2.37027,0.9935,0.000457723,0.000457723,0.000457723
4,7.3139,0.92482,2.36736,1.03203,0.94233,0.75897,0.90041,0.60597,1.01414,2.29595,0.97977,0.000615396,0.000615396,0.000615396
5,8.88102,0.93532,2.08178,1.02076,0.92078,0.71524,0.87799,0.58153,1.03464,2.45552,0.95987,0.000772278,0.000772278,0.000772278
6,10.3919,0.92028,2.03464,1.02364,0.84736,0.34165,0.70387,0.47656,0.96736,2.66849,0.9756,0.000928368,0.000928368,0.000928368
7,11.893,0.87968,1.76816,0.99642,0.76771,0.44103,0.70153,0.53228,0.83163,2.51545,0.94025,0.00108366,0.00108366,0.00108366
8,13.4948,0.93115,1.73935,1.03514,0.97254,0.72645,0.93309,0.65056,0.95022,2.2632,1.04202,0.00123817,0.00123817,0.00123817
9,15.1206,0.95357,1.5799,1.04818,0.97084,0.7641,0.92111,0.70162,0.82202,2.08873,1.05099,0.00139188,0.00139188,0.00139188
10,16.6624,0.97785,1.7346,1.04294,0.97084,0.7641,0.92111,0.70162,0.82202,2.08873,1.05099,0.00154481,0.00154481,0.00154481
11,18.2225,0.94574,1.75404,1.05301,0.94008,0.80456,0.91,0.67624,0.97704,2.03794,1.18967,0.00169694,0.00169694,0.00169694
12,19.6647,0.94807,1.81516,1.06074,0.94008,0.80456,0.91,0.67624,0.97704,2.03794,1.18967,0.00184827,0.00184827,0.00184827
13,21.2827,0.94466,1.81642,1.09116,0.9625,0.92142,0.96984,0.72794,0.94008,1.36926,1.21017,0.0019406,0.0019406,0.0019406
14,22.7049,0.89486,1.60538,1.10084,0.9625,0.92142,0.96984,0.72794,0.94008,1.36926,1.21017,0.00193565,0.00193565,0.00193565
15,24.2045,0.92263,1.54561,1.0894,0.98262,0.87003,0.94711,0.74582,0.84346,1.7579,1.08354,0.0019307,0.0019307,0.0019307
16,25.7849,0.9282,1.56339,1.06894,0.98262,0.87003,0.94711,0.74582,0.84346,1.7579,1.08354,0.00192575,0.00192575,0.00192575
17,27.2875,0.81777,1.50534,1.01519,0.95338,0.9439,0.98382,0.77074,0.78899,1.28718,1.02442,0.0019208,0.0019208,0.0019208
18,28.8107,0.79856,1.57555,1.01349,0.95338,0.9439,0.98382,0.77074,0.78899,1.28718,1.02442,0.00191585,0.00191585,0.00191585
19,30.4024,0.82304,1.47998,0.97643,0.96903,0.96264,0.98472,0.7527,0.86433,1.15151,1.0312,0.0019109,0.0019109,0.0019109
20,31.9526,0.86287,1.51099,1.02018,0.96903,0.96264,0.98472,0.7527,0.86433,1.15151,1.0312,0.00190595,0.00190595,0.00190595
21,33.5806,0.81164,1.42309,0.98995,0.96231,0.91658,0.96867,0.7439,0.76433,1.13025,0.96925,0.001901,0.001901,0.001901
22,35.4249,0.77828,1.31112,0.96452,0.96231,0.91658,0.96867,0.7439,0.76433,1.13025,0.96925,0.00189605,0.00189605,0.00189605
23,37.3504,0.77574,1.24794,0.93932,0.94826,0.93846,0.97806,0.80365,0.71287,1.0177,0.95075,0.0018911,0.0018911,0.0018911
24,39.0655,0.74907,1.2886,0.95926,0.94826,0.93846,0.97806,0.80365,0.71287,1.0177,0.95075,0.00188615,0.00188615,0.00188615
25,41.0248,0.80616,1.29923,0.96221,0.95385,0.95398,0.9857,0.80367,0.72446,0.96879,0.95776,0.0018812,0.0018812,0.0018812
26,42.801,0.73594,1.19873,0.95034,0.95385,0.95398,0.9857,0.80367,0.72446,0.96879,0.95776,0.00187625,0.00187625,0.00187625
27,44.687,0.69671,1.18466,0.93546,0.97481,0.95385,0.98738,0.8237,0.68099,0.84465,0.94331,0.0018713,0.0018713,0.0018713
28,46.5147,0.70533,1.12641,0.9415,0.97481,0.95385,0.98738,0.8237,0.68099,0.84465,0.94331,0.00186635,0.00186635,0.00186635
