epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0625,1.08133,3.69921,1.30142,0.00194,0.09231,0.00315,0.00092,0.8652,3.46397,1.17059,4e-05,4e-05,4e-05
2,5.90625,1.03923,3.70809,1.25627,0.00548,0.26154,0.01065,0.00329,0.81442,3.39648,1.11124,9.9505e-05,9.9505e-05,9.9505e-05
3,7.96842,0.9505,3.47254,1.14709,0.01548,0.73846,0.59158,0.39946,0.84755,3.14789,1.01673,0.000158416,0.000158416,0.000158416
4,10.1069,0.91115,2.24531,1.02321,0.01903,0.90769,0.84416,0.59586,0.86348,2.89294,0.95884,0.000216733,0.000216733,0.000216733
5,12.1309,0.86077,1.66394,1.01705,0.01957,0.93333,0.87885,0.62299,0.84598,2.78384,0.94331,0.000274456,0.000274456,0.000274456
6,14.0072,0.88834,1.66629,1.00672,1,0.22109,0.79807,0.54753,0.82729,2.78011,0.94648,0.000331585,0.000331585,0.000331585
7,15.8633,0.85865,1.35651,0.95439,1,0.17453,0.77848,0.53782,0.81309,2.80054,0.94861,0.00038812,0.00038812,0.00038812
8,17.8225,0.83123,1.65595,1.00944,0.95849,0.65641,0.86306,0.61367,0.77913,2.78696,0.93545,0.000444061,0.000444061,0.000444061
9,19.7984,0.76084,1.53204,0.95009,0.01903,0.90769,0.8789,0.64648,0.73953,2.79975,0.92316,0.000499408,0.000499408,0.000499408
10,21.7183,0.77996,1.27428,0.93634,0.01688,0.80513,0.74829,0.55171,0.74532,2.91222,0.9615,0.000554161,0.000554161,0.000554161
11,23.5291,0.79211,1.32186,0.95795,0.01774,0.84615,0.75898,0.58684,0.71697,2.88385,0.94093,0.00060832,0.00060832,0.00060832
12,25.3023,0.72641,1.18778,0.93341,0.01785,0.85128,0.72092,0.58464,0.67512,2.8977,0.91951,0.000661885,0.000661885,0.000661885
13,27.1799,0.76074,1.2267,0.93878,0.01849,0.88205,0.68122,0.55998,0.67347,2.86225,0.89594,0.000714856,0.000714856,0.000714856
14,29.1522,0.7463,1.11768,0.90865,1,0.15407,0.73923,0.58431,0.70824,2.81828,0.89663,0.000767233,0.000767233,0.000767233
15,30.952,0.72737,1.16635,0.91283,1,0.44009,0.87235,0.70977,0.69657,2.65807,0.87595,0.000819016,0.000819016,0.000819016
16,32.7663,0.66326,1.13414,0.896,1,0.41445,0.83494,0.69658,0.6759,2.66483,0.87782,0.000870205,0.000870205,0.000870205
17,34.723,0.73081,1.09596,0.94178,1,0.34509,0.8363,0.6721,0.66439,2.64302,0.8847,0.0009208,0.0009208,0.0009208
18,36.6817,0.75073,1.11011,0.93899,1,0.13829,0.83199,0.62988,0.81413,2.69213,0.93538,0.000970801,0.000970801,0.000970801
19,38.6365,0.72992,0.92561,0.93149,1,0.12156,0.86017,0.70344,0.71188,2.61205,0.90981,0.00102021,0.00102021,0.00102021
20,40.5987,0.75315,1.15766,0.93163,1,0.11728,0.83877,0.69307,0.67838,2.67395,0.90876,0.00106902,0.00106902,0.00106902
21,42.5012,0.67693,1.15416,0.93537,1,0.164,0.81175,0.67082,0.67695,2.707,0.90555,0.00111724,0.00111724,0.00111724
