epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.48342,1.04663,3.65302,1.26534,0.00441,0.21026,0.03519,0.00695,0.86927,3.42574,1.17028,0.00014,0.00014,0.00014
2,4.32175,1.0112,2.90244,1.13034,0.01376,0.65641,0.34987,0.22129,0.84627,3.13255,1.05211,0.00029604,0.00029604,0.00029604
3,6.05907,1.00772,2.19702,1.05502,0.98758,0.40767,0.85591,0.57789,1.01093,2.54431,0.97973,0.000447856,0.000447856,0.000447856
4,7.81342,0.9149,1.61873,1.00288,0.97305,0.74073,0.87837,0.56365,1.05918,2.60531,0.97702,0.000595448,0.000595448,0.000595448
5,9.61711,0.89674,1.6255,1.00717,1,0.33087,0.87966,0.61015,0.86438,2.60499,0.94474,0.000738816,0.000738816,0.000738816
6,11.2594,0.90219,1.66567,1.04271,1,0.3974,0.94304,0.73561,0.77186,2.3933,0.93358,0.00087796,0.00087796,0.00087796
7,12.9022,0.95319,1.5647,1.02342,1,0.23342,0.92765,0.67109,0.84827,2.53047,0.95696,0.00101288,0.00101288,0.00101288
8,14.5551,0.89861,1.51962,0.99333,1,0.42778,0.92995,0.64404,0.83126,2.5506,0.95369,0.00114358,0.00114358,0.00114358
9,16.2576,0.86354,1.68667,0.99727,0.97219,0.89631,0.96442,0.75242,0.81837,1.76634,0.97824,0.00127005,0.00127005,0.00127005
10,17.8943,0.95139,1.60516,1.02387,0.97219,0.89631,0.96442,0.75242,0.81837,1.76634,0.97824,0.0013923,0.0013923,0.0013923
11,19.6731,0.87176,1.48158,1.00865,0.96058,0.87485,0.94904,0.76249,0.74219,1.39547,0.99527,0.00151032,0.00151032,0.00151032
12,21.3385,0.83995,1.51253,1.0154,0.96058,0.87485,0.94904,0.76249,0.74219,1.39547,0.99527,0.00162412,0.00162412,0.00162412
13,23.1193,0.82311,1.47907,0.99942,0.97201,0.8906,0.96258,0.76672,0.78411,1.73855,0.98593,0.0016832,0.0016832,0.0016832
