epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.02391,1.08133,3.69921,1.30142,0.00194,0.09231,0.00315,0.00092,0.8652,3.46397,1.17059,4e-05,4e-05,4e-05
2,4.6836,1.03923,3.70809,1.25627,0.00548,0.26154,0.01089,0.00363,0.81364,3.39681,1.11123,9.967e-05,9.967e-05,9.967e-05
3,6.35746,0.95027,3.47218,1.14781,0.01548,0.73846,0.57058,0.36357,0.83941,3.16703,1.02098,0.000158944,0.000158944,0.000158944
4,7.99747,0.92388,2.25397,1.03656,0.01871,0.89231,0.8238,0.56643,0.83976,2.914,0.95725,0.000217822,0.000217822,0.000217822
5,9.60289,0.85052,1.64882,1.01488,0.01946,0.92821,0.86486,0.5981,0.84477,2.80742,0.94121,0.000276304,0.000276304,0.000276304
6,11.278,0.86929,1.64729,1.00026,0.97485,0.18974,0.75404,0.54299,0.80646,2.78413,0.93548,0.00033439,0.00033439,0.00033439
7,12.9165,0.8461,1.34357,0.94591,1,0.14114,0.6944,0.50638,0.81315,2.80118,0.94381,0.00039208,0.00039208,0.00039208
8,14.6473,0.82919,1.67316,1.01009,1,0.19508,0.77406,0.54155,0.78258,2.84473,0.96364,0.000449374,0.000449374,0.000449374
9,16.3297,0.75751,1.52987,0.95877,0.0186,0.88718,0.79456,0.57651,0.7166,2.85932,0.94818,0.000506272,0.000506272,0.000506272
10,18.0675,0.77327,1.25998,0.94563,0.01774,0.84615,0.73717,0.52362,0.72306,2.95543,0.97915,0.000562774,0.000562774,0.000562774
11,19.8568,0.77857,1.29749,0.96499,0.0186,0.88718,0.76728,0.57708,0.71746,2.91628,0.96318,0.00061888,0.00061888,0.00061888
12,21.7847,0.74412,1.19207,0.94288,0.01828,0.87179,0.72621,0.5615,0.7087,2.94385,0.94213,0.00067459,0.00067459,0.00067459
13,23.6147,0.77303,1.20926,0.94741,1,0.23916,0.73976,0.56612,0.70878,2.90993,0.92621,0.000729904,0.000729904,0.000729904
14,25.5485,0.74107,1.0756,0.91211,1,0.33826,0.83485,0.65234,0.70556,2.78153,0.90627,0.000784822,0.000784822,0.000784822
15,27.4353,0.71325,1.14584,0.91738,1,0.4992,0.90419,0.68853,0.74562,2.67027,0.91824,0.000839344,0.000839344,0.000839344
16,29.3439,0.67207,1.13245,0.90619,1,0.53337,0.9166,0.70733,0.72475,2.65143,0.90964,0.00089347,0.00089347,0.00089347
17,31.1779,0.71485,1.10616,0.94445,1,0.49338,0.89076,0.68976,0.70496,2.59644,0.90661,0.0009472,0.0009472,0.0009472
18,32.9777,0.69678,1.09067,0.91614,0.98806,0.4245,0.88471,0.69407,0.6928,2.48267,0.90976,0.00100053,0.00100053,0.00100053
19,34.8889,0.68442,0.93909,0.91983,0.96892,0.47965,0.90788,0.73401,0.67788,2.34163,0.91097,0.00105347,0.00105347,0.00105347
20,37.2138,0.76379,1.13717,0.94079,0.98618,0.36597,0.92711,0.77251,0.66008,2.41575,0.90964,0.00110601,0.00110601,0.00110601
21,39.2578,0.70995,1.17417,0.95175,0.97086,0.34171,0.92118,0.76678,0.63245,2.41799,0.89816,0.00115816,0.00115816,0.00115816
22,41.1688,0.65445,1.08871,0.90904,0.98014,0.75917,0.97591,0.8231,0.65643,2.0908,0.90969,0.00120991,0.00120991,0.00120991
23,42.813,0.67148,1.05907,0.92494,0.98014,0.75917,0.97591,0.8231,0.65643,2.0908,0.90969,0.00126126,0.00126126,0.00126126
24,44.4313,0.69708,0.97177,0.90822,0.98882,0.90743,0.98286,0.79727,0.76288,1.87998,0.94826,0.00131222,0.00131222,0.00131222
25,46.0598,0.7775,1.14301,0.95794,0.98317,0.8988,0.98134,0.80358,0.71077,1.89997,0.92606,0.00136278,0.00136278,0.00136278
26,47.5929,0.73546,0.9472,0.9239,0.97808,0.91542,0.97908,0.82444,0.67238,1.79381,0.91275,0.00141295,0.00141295,0.00141295
27,49.3027,0.66949,1.0145,0.92185,0.97808,0.91542,0.97908,0.82444,0.67238,1.79381,0.91275,0.00146272,0.00146272,0.00146272
28,50.9491,0.6728,1.01849,0.90886,0.97491,0.95385,0.98018,0.82964,0.6268,1.33022,0.90426,0.00151209,0.00151209,0.00151209
29,53.0373,0.65173,0.88632,0.89313,0.97491,0.95385,0.98018,0.82964,0.6268,1.33022,0.90426,0.00156107,0.00156107,0.00156107
30,55.0296,0.63496,0.95042,0.8874,0.98381,0.93497,0.97569,0.81476,0.64558,1.22114,0.91833,0.00160965,0.00160965,0.00160965
31,56.8397,0.65924,0.88955,0.90586,0.98908,0.92893,0.98147,0.84396,0.61519,1.27567,0.9121,0.00165784,0.00165784,0.00165784
32,58.594,0.65498,0.80341,0.8877,0.98908,0.92893,0.98147,0.84396,0.61519,1.27567,0.9121,0.00170563,0.00170563,0.00170563
33,60.4978,0.64913,0.95413,0.92026,0.99513,0.94872,0.98375,0.84897,0.61191,1.19886,0.91182,0.00175302,0.00175302,0.00175302
34,62.349,0.65252,0.87246,0.90263,0.99513,0.94872,0.98375,0.84897,0.61191,1.19886,0.91182,0.0017822,0.0017822,0.0017822
35,64.3965,0.6465,0.92885,0.90424,1,0.9629,0.99343,0.85484,0.6288,0.93283,0.92003,0.0017756,0.0017756,0.0017756
