epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21076,0.99108,3.61325,1.2223,0.01226,0.58462,0.28194,0.14168,0.87871,3.26892,1.11297,0.00014,0.00014,0.00014
2,3.80887,0.9375,3.01721,1.09696,0.0186,0.88718,0.77965,0.54954,0.82627,2.87346,0.96278,0.00029802,0.00029802,0.00029802
3,5.37235,0.95878,2.1158,1.04887,0.97994,0.50093,0.87601,0.5958,0.97667,2.49634,0.97695,0.000453928,0.000453928,0.000453928
4,6.7941,0.93393,2.05386,1.02501,0.98065,0.25994,0.8296,0.56529,0.9494,2.68209,0.95978,0.000607724,0.000607724,0.000607724
5,8.49183,0.92019,1.96768,1.06103,0.20982,0.86667,0.50039,0.3291,0.93744,2.81777,0.98879,0.000759408,0.000759408,0.000759408
6,9.99957,0.84189,1.66065,1.01383,0.45993,0.25331,0.35885,0.25645,0.81871,2.7344,0.97265,0.00090898,0.00090898,0.00090898
7,11.6794,0.81258,1.52271,0.98165,0.91855,0.46269,0.80958,0.64453,0.78337,2.49509,1.01116,0.00105644,0.00105644,0.00105644
8,13.1073,0.84826,1.61367,1.03023,1,0.68396,0.93025,0.70947,0.87132,2.44778,1.08972,0.00120179,0.00120179,0.00120179
9,14.6951,0.82175,1.61294,1.03278,1,0.84111,0.96665,0.75996,0.8074,2.11868,1.05378,0.00134502,0.00134502,0.00134502
10,16.1377,0.83899,1.56343,1.01955,1,0.84111,0.96665,0.75996,0.8074,2.11868,1.05378,0.00148615,0.00148615,0.00148615
11,17.7015,0.87553,1.64759,1.08729,0.94977,0.86667,0.93924,0.68714,0.93492,1.6738,1.10806,0.00162516,0.00162516,0.00162516
12,19.3039,0.96395,1.50846,1.10058,0.94977,0.86667,0.93924,0.68714,0.93492,1.6738,1.10806,0.00176206,0.00176206,0.00176206
13,21.1174,0.94279,1.63915,1.13696,0.91098,0.84103,0.92457,0.67054,0.94293,1.71059,1.12162,0.0018416,0.0018416,0.0018416
14,22.7892,0.89356,1.48698,1.08866,0.91098,0.84103,0.92457,0.67054,0.94293,1.71059,1.12162,0.0018284,0.0018284,0.0018284
15,24.4638,0.95049,1.49275,1.09403,0.7844,0.65128,0.74268,0.43052,1.26575,2.06138,1.26505,0.0018152,0.0018152,0.0018152
16,26.2158,1.04724,1.87286,1.08531,0.7844,0.65128,0.74268,0.43052,1.26575,2.06138,1.26505,0.001802,0.001802,0.001802
17,28.0486,0.95252,1.69085,1.04189,0.92641,0.90376,0.94899,0.73276,0.75725,1.22304,1.0035,0.0017888,0.0017888,0.0017888
18,29.7382,0.76871,1.60622,1.013,0.92641,0.90376,0.94899,0.73276,0.75725,1.22304,1.0035,0.0017756,0.0017756,0.0017756
