epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.74078,1.1568,3.60909,1.13477,0.00886,0.47867,0.00824,0.00514,0.92889,3.41869,1.09175,4e-05,4e-05,4e-05
2,2.70217,1.1031,3.60231,1.09689,0.01044,0.56398,0.01318,0.00914,0.82835,3.37279,1.04761,9.901e-05,9.901e-05,9.901e-05
3,3.77346,1.05656,3.19522,1.06671,0.01675,0.90521,0.03869,0.02769,0.81315,3.17156,0.95253,0.000156832,0.000156832,0.000156832
4,4.89366,0.95341,2.09496,0.94943,0.01798,0.97156,0.05063,0.03479,0.86121,2.97589,0.92246,0.000213466,0.000213466,0.000213466
5,5.90188,1.00979,1.41202,0.95528,0.01825,0.98578,0.70262,0.52757,0.8436,2.72578,0.91093,0.000268912,0.000268912,0.000268912
6,7.08611,0.91176,1.25357,0.97228,0.01833,0.99052,0.873,0.68254,0.83963,2.60099,0.89605,0.00032317,0.00032317,0.00032317
7,8.29959,0.81712,0.98154,0.92296,0.02579,0.98578,0.86729,0.66603,0.82022,2.52309,0.88565,0.00037624,0.00037624,0.00037624
8,9.33971,0.84391,0.99844,0.89663,0.03787,0.95735,0.81996,0.64623,0.83026,2.51489,0.87964,0.000428122,0.000428122,0.000428122
9,10.2751,0.86281,0.96446,0.91411,0.92979,0.65877,0.7394,0.57582,0.84831,2.52229,0.8967,0.000478816,0.000478816,0.000478816
10,11.3142,0.88154,0.96152,0.93721,0.04095,0.92917,0.70867,0.56492,0.83916,2.53772,0.88984,0.000528322,0.000528322,0.000528322
11,12.3592,0.90838,0.93086,0.94479,0.01816,0.98104,0.6818,0.55079,0.9167,2.57533,0.97278,0.00057664,0.00057664,0.00057664
12,13.432,0.88119,0.86058,0.92224,0.01807,0.9763,0.69299,0.56257,0.85258,2.61434,0.95167,0.00062377,0.00062377,0.00062377
13,14.7478,0.89199,0.8721,0.92356,0.74245,0.69668,0.72673,0.5995,0.83787,2.53822,0.9739,0.000669712,0.000669712,0.000669712
14,15.6867,0.82338,0.82484,0.91071,1,0.32394,0.70782,0.57717,0.86256,2.51049,0.96269,0.000714466,0.000714466,0.000714466
15,16.7315,0.81319,0.85103,0.9102,1,0.39825,0.66816,0.54244,0.87983,2.56653,0.96494,0.000758032,0.000758032,0.000758032
16,17.7587,0.81388,0.7526,0.88764,0.94304,0.54928,0.70787,0.59826,0.78685,2.49382,0.95587,0.00080041,0.00080041,0.00080041
17,18.8626,0.75907,0.77708,0.87392,0.94167,0.45909,0.73254,0.59397,0.77859,2.33165,0.92357,0.0008416,0.0008416,0.0008416
18,19.8838,0.81763,0.89925,0.91238,0.95276,0.38237,0.75103,0.63572,0.73551,2.24377,0.91254,0.000881602,0.000881602,0.000881602
19,20.8784,0.75344,0.76124,0.89371,0.948,0.2592,0.67361,0.56371,0.74681,2.2492,0.88841,0.000920416,0.000920416,0.000920416
20,22.0566,0.74562,0.78334,0.86313,0.95343,0.2891,0.70033,0.5734,0.78296,2.17615,0.93585,0.000958042,0.000958042,0.000958042
21,23.0146,0.7452,0.77736,0.86337,0.9594,0.448,0.80138,0.66244,0.72472,1.99782,0.89605,0.00099448,0.00099448,0.00099448
22,23.9693,0.71435,0.7328,0.89512,0.9158,0.67013,0.84407,0.70276,0.71141,1.80404,0.90624,0.00102973,0.00102973,0.00102973
23,25.0925,0.7671,0.80811,0.8933,0.75896,0.67773,0.79388,0.65663,0.70326,1.73521,0.9241,0.00106379,0.00106379,0.00106379
24,26.2722,0.73731,0.70361,0.87483,0.7078,0.67733,0.74213,0.58918,0.78954,1.71838,0.91679,0.00109667,0.00109667,0.00109667
25,27.268,0.7308,0.67804,0.89085,0.69181,0.6872,0.7472,0.61372,0.70794,1.67073,0.88945,0.00112835,0.00112835,0.00112835
26,28.4095,0.75574,0.70484,0.86074,0.57145,0.67773,0.61673,0.51738,0.70114,1.67106,0.87906,0.00115885,0.00115885,0.00115885
27,29.4948,0.77924,0.71201,0.89869,0.64923,0.66666,0.66849,0.56604,0.68537,1.62845,0.87008,0.00118816,0.00118816,0.00118816
28,30.5852,0.71039,0.69462,0.88711,0.65341,0.63033,0.6133,0.52191,0.73835,1.65917,0.91129,0.00121628,0.00121628,0.00121628
29,31.6449,0.70639,0.64816,0.8574,0.65341,0.63033,0.6133,0.52191,0.73835,1.65917,0.91129,0.00124322,0.00124322,0.00124322
30,32.5713,0.68246,0.67895,0.88628,0.64127,0.69668,0.64179,0.53745,0.66873,1.55896,0.88541,0.00126896,0.00126896,0.00126896
31,33.5851,0.65902,0.68095,0.87184,0.63252,0.79946,0.70733,0.59167,0.67502,1.44212,0.93313,0.00129352,0.00129352,0.00129352
